TICKER,ebitda,de_ratio,debt_ebitda,npm,roa,roe,gsector,sic,description
CTLT,537.0,1.368,10.143,-0.24,0.045,-0.208,35.0,2834,Pharmaceutical preparations
KEYS,1250.0,0.866,1.305,0.193,0.185,0.237,45.0,3825,Instruments to measure electricity
DNOW,174.0,0.57,0.232,0.057,0.132,0.157,20.0,5084,Industrial machinery and equipment
LOB,207.176,11.66,0.234,0.081,0.018,0.073,40.0,6020,
LOB,,11.66,0.234,0.081,0.018,0.073,40.0,6020,
ELTX,-35.363,0.357,-0.155,-14.205,-0.619,-0.832,35.0,2836,"Biological products, except diagnostic"
ARES,1086.545,10.513,15.453,0.119,0.048,0.257,40.0,6282,Investment advice
HRTG,72.671,14.519,3.161,0.037,0.022,0.19,40.0,6331,"Fire, marine, and casualty insurance"
HRTG,,14.519,3.161,0.037,0.022,0.19,40.0,6331,"Fire, marine, and casualty insurance"
SLM,1089.448,15.097,7.518,0.126,0.024,0.212,40.0,6141,Personal credit institutions
SLM,,15.097,7.518,0.126,0.024,0.212,40.0,6141,Personal credit institutions
RYAM,152.425,1.803,5.074,-0.021,0.071,-0.044,15.0,2820,
LMB,39.215,1.721,1.163,0.037,0.136,0.196,20.0,1700,
TRUE,-27.991,0.294,-0.507,-0.428,-0.174,-0.348,50.0,7370,
CTRA,3795.0,0.581,0.571,0.34,0.224,0.14,10.0,1311,Crude petroleum and natural gas
NAOV,-3.435,0.938,-0.011,-4.937,-0.9,-2.033,35.0,3845,Electromedical equipment
MRNS,-130.985,1.839,-0.859,-4.326,-0.568,-1.632,35.0,2836,"Biological products, except diagnostic"
ISTR,42.921,11.828,7.546,0.166,0.018,0.103,40.0,6020,
ISTR,,11.828,7.546,0.166,0.018,0.103,40.0,6020,
GPRO,-68.565,0.791,-3.666,-0.046,-0.047,-0.081,25.0,3861,Photographic equipment and supplies
ARDX,-62.676,0.687,-0.757,-0.198,-0.121,-0.257,35.0,2836,"Biological products, except diagnostic"
SNDX,-229.942,0.075,-0.008,,-0.444,-0.429,35.0,2836,"Biological products, except diagnostic"
AMPH,237.722,0.963,1.639,0.225,0.237,0.249,35.0,2834,Pharmaceutical preparations
VVX,293.857,2.221,4.4,-0.008,0.091,-0.032,20.0,8744,Facilities support services
FFWM,131.032,11.801,9.599,-0.309,0.012,-0.171,40.0,6020,
FFWM,,11.801,9.599,-0.309,0.012,-0.171,40.0,6020,
SYF,4194.0,7.157,3.33,0.118,0.04,0.192,40.0,6141,Personal credit institutions
SYF,,7.157,3.33,0.118,0.04,0.192,40.0,6141,Personal credit institutions
KE,111.661,1.449,2.242,0.031,0.105,0.116,45.0,3674,Semiconductors and related devices
RLMD,-103.702,0.087,0.0,,-0.774,-0.821,35.0,2834,Pharmaceutical preparations
VIA,56.326,1.483,4.844,0.014,0.075,0.136,55.0,4931,Electric and other services combined
ANET,2338.386,0.398,0.03,0.34,0.3,0.372,45.0,3576,
MTNB,-23.373,0.221,-0.171,-9.849,-0.558,-0.62,35.0,2836,"Biological products, except diagnostic"
CSCO,15560.0,1.273,0.515,0.234,0.187,0.322,45.0,3576,
HQY,281.212,0.585,3.648,0.03,0.085,0.015,35.0,6324,Hospital and medical service plans
SLNO,-36.712,1.889,-0.01,,-1.105,-3.268,35.0,2836,"Biological products, except diagnostic"
HOLX,1302.4,0.822,2.288,0.113,0.139,0.091,35.0,3844,X-ray apparatus and tubes
TRUP,-23.791,1.454,-3.048,-0.049,-0.048,-0.172,40.0,6399,"Insurance carriers, nec"
TRUP,,1.454,-3.048,-0.049,-0.048,-0.172,40.0,6399,"Insurance carriers, nec"
SAGE,-545.07,0.101,-0.015,-57.801,-0.511,-0.552,35.0,2836,"Biological products, except diagnostic"
IRMD,20.8,0.172,0.113,0.259,0.247,0.236,35.0,3841,Surgical and medical instruments
CNNE,-99.9,0.157,-2.936,-0.365,-0.03,-0.082,40.0,5812,Eating places
ATEX,-51.622,0.574,-0.083,2.627,-0.2,0.042,50.0,4899,"Communication services, nec"
HSDT,-12.107,1.322,-0.007,-16.024,-0.825,-1.599,35.0,3845,Electromedical equipment
LNTH,552.002,1.579,2.4,0.086,0.194,0.2,35.0,2835,Diagnostic substances
ATRA,-264.447,6.514,-0.235,-63.903,-0.887,-3.006,35.0,2836,"Biological products, except diagnostic"
OCUL,-79.399,9.045,-0.874,-1.162,-0.567,-2.841,35.0,2836,"Biological products, except diagnostic"
ADVM,-118.123,0.783,-0.74,-35.052,-0.433,-0.744,35.0,2836,"Biological products, except diagnostic"
VKTX,-100.827,0.067,-0.016,,-0.414,-0.396,35.0,2836,"Biological products, except diagnostic"
TTOO,-46.294,-2.016,-1.228,-4.532,-1.251,,35.0,2835,Diagnostic substances
RMBL,35.68,4.505,20.839,-0.234,0.034,-1.228,25.0,5500,
AKTS,-52.503,0.696,-0.784,-2.262,-0.391,-0.733,45.0,3679,"Electronic components, nec"
AXDX,-51.544,-2.524,-1.048,-5.267,-0.902,,35.0,2835,Diagnostic substances
LOCO,51.521,1.167,4.897,0.059,0.087,0.092,25.0,5812,Eating places
LBRDK,303.0,0.721,12.897,0.674,0.02,0.062,50.0,4812,Radiotelephone communication
TTI,79.381,2.594,2.444,0.045,0.183,0.236,10.0,1389,"Oil and gas field services, nec"
VICR,68.598,0.127,0.123,0.127,0.127,0.112,20.0,3679,"Electronic components, nec"
PBLA,-25.647,-17.16,-0.236,,-2.069,-6.412,35.0,2836,"Biological products, except diagnostic"
KPRX,-8.636,0.639,-0.006,,-0.511,-1.049,35.0,2834,Pharmaceutical preparations
FCUV,-4.795,0.169,-0.113,-4.935,-0.498,-0.575,45.0,3829,"Measuring and controlling devices, nec"
AVNS,100.8,0.37,2.635,-0.006,0.06,-0.003,35.0,3842,Surgical appliances and supplies
VANI,-26.608,0.477,-0.418,,-0.499,-0.647,35.0,3845,Electromedical equipment
GVA,194.995,1.418,2.154,0.012,0.085,0.042,20.0,1600,
CRC,1060.0,0.949,0.712,0.166,0.234,0.232,10.0,1311,Crude petroleum and natural gas
LSTR,402.302,0.933,0.347,0.052,0.239,0.325,20.0,4213,"Trucking, except local"
KMPR,15.2,4.26,-9.093,-0.074,-0.009,-0.15,40.0,6331,"Fire, marine, and casualty insurance"
KMPR,,4.26,-9.093,-0.074,-0.009,-0.15,40.0,6331,"Fire, marine, and casualty insurance"
CZFS,46.402,10.2,6.485,0.147,0.018,0.084,40.0,6020,
CZFS,,10.2,6.485,0.147,0.018,0.084,40.0,6020,
VYNE,-29.258,0.388,0.0,-83.28,-0.823,-1.026,35.0,2834,Pharmaceutical preparations
W,-317.0,-2.265,-8.656,-0.076,-0.139,,25.0,5961,Catalog and mail-order houses
AAON,280.699,0.415,0.333,0.152,0.306,0.278,20.0,3585,Refrigeration and heating equipment
CREX,4.567,1.597,12.908,-0.138,0.021,-0.226,50.0,7372,Prepackaged software
CIVB,83.453,9.6,4.834,0.22,0.025,0.136,40.0,6020,
CIVB,,9.6,4.834,0.22,0.025,0.136,40.0,6020,
RYTM,-176.932,0.612,-0.484,-2.993,-0.498,-0.783,35.0,2836,"Biological products, except diagnostic"
VBTX,265.744,7.367,4.881,0.195,0.022,0.099,40.0,6020,
VBTX,,7.367,4.881,0.195,0.022,0.099,40.0,6020,
NVEC,18.827,0.027,0.021,0.597,0.354,0.331,45.0,3674,Semiconductors and related devices
MMSI,253.443,0.473,1.31,0.082,0.145,0.085,35.0,3841,Surgical and medical instruments
FRPT,35.833,0.395,19.246,-0.072,0.012,-0.053,30.0,2040,
VCTR,394.153,1.408,2.584,0.257,0.152,0.18,40.0,6282,Investment advice
CZR,3815.0,7.096,6.652,0.062,0.114,0.152,25.0,7990,
TFIN,166.557,5.534,2.114,0.105,0.032,0.06,40.0,6036,"Savings institutions, except federal"
TFIN,,5.534,2.114,0.105,0.032,0.06,40.0,6036,"Savings institutions, except federal"
BSGM,-28.151,8.159,-0.022,-212.41,-6.312,-27.521,35.0,3845,Electromedical equipment
CFG,4583.0,8.51,3.59,0.176,0.022,0.096,40.0,6020,
CFG,,8.51,3.59,0.176,0.022,0.096,40.0,6020,
HESM,1009.4,,3.048,0.079,0.275,0.402,10.0,1311,Crude petroleum and natural gas
TUSK,24.194,0.52,2.781,0.021,0.054,0.016,10.0,1389,"Oil and gas field services, nec"
CHRS,-190.359,-4.015,-2.707,-1.029,-0.372,,35.0,2836,"Biological products, except diagnostic"
HUBS,-34.634,1.492,-22.881,-0.087,-0.014,-0.177,45.0,7370,
BOOT,249.799,0.928,1.625,0.095,0.174,0.207,25.0,5661,Shoe stores
FGEN,-234.643,-7.066,-0.777,-1.898,-0.433,-11.183,35.0,2836,"Biological products, except diagnostic"
NVRO,-92.258,0.914,-2.015,-0.242,-0.17,-0.329,35.0,3845,Electromedical equipment
VERB,-11.464,6.194,-0.594,-12.775,-0.541,-2.914,45.0,7370,
WK,-63.287,-34.76,-7.108,-0.226,-0.083,-58.231,45.0,7370,
CRBP,-44.437,2.339,-0.535,,-0.766,-1.881,35.0,2836,"Biological products, except diagnostic"
UPLD,39.881,2.143,10.828,-0.613,0.046,-0.726,45.0,7370,
GRBK,358.75,0.482,1.107,0.152,0.197,0.256,25.0,1531,Operative builders
JYNT,10.395,1.813,2.08,0.018,0.135,0.061,35.0,6794,Patent owners and lessors
IBOC,638.593,6.034,0.901,0.44,0.041,0.197,40.0,6020,
IBOC,,6.034,0.901,0.44,0.041,0.197,40.0,6020,
AINC,49.777,1.469,2.46,-0.003,0.116,,40.0,6282,Investment advice
FND,524.237,1.514,2.975,0.063,0.129,0.161,25.0,5211,Lumber and other building materials
TBI,22.344,1.036,1.703,-0.002,0.038,-0.01,20.0,7363,Help supply services
HCA,12704.0,-21.147,3.351,0.091,0.231,,35.0,8062,General medical and surgical hospitals
SND,28.563,0.473,1.169,0.039,0.104,0.047,10.0,1400,
EFSH,-3.046,18.557,-8.671,-0.215,-0.076,-5.789,20.0,5712,Furniture stores
TLRY,22.332,0.27,-11.834,-2.218,-0.01,-0.354,35.0,2834,Pharmaceutical preparations
PARR,783.25,3.004,1.216,0.067,0.221,0.699,10.0,2911,Petroleum refining
GMS,584.011,1.505,2.136,0.057,0.187,0.235,20.0,5030,
PIRS,-13.94,1.838,-0.668,-0.593,-0.211,-0.938,35.0,2836,"Biological products, except diagnostic"
SUM,535.863,1.064,3.028,0.125,0.119,0.156,15.0,1400,
ZI,350.4,2.109,3.92,0.111,0.047,0.06,50.0,7370,
VSTO,444.205,1.357,2.335,-0.044,0.162,-0.095,25.0,3480,
SHAK,104.381,2.719,7.996,0.002,0.062,0.006,25.0,5812,Eating places
TCON,-6.884,-2.333,-0.59,-1.225,-0.88,,35.0,2836,"Biological products, except diagnostic"
AVGR,-16.346,-16.019,-1.044,-2.256,-0.695,-3.845,35.0,3841,Surgical and medical instruments
SYBT,199.045,8.717,2.19,0.273,0.027,0.147,40.0,6020,
SYBT,,8.717,2.19,0.273,0.027,0.147,40.0,6020,
CC,807.0,6.921,4.913,-0.051,0.105,-0.265,15.0,2860,
TRMB,821.9,1.014,3.257,0.09,0.099,0.077,45.0,3829,"Measuring and controlling devices, nec"
CKX,-0.023,0.01,0.0,-1.014,-0.103,-0.062,60.0,6519,"Real property lessors, nec"
GRNQ,-1.355,0.235,-0.123,0.832,-0.067,0.21,40.0,8741,Management services
FNWB,28.062,12.321,8.509,0.13,0.018,0.086,40.0,6020,
FNWB,,12.321,8.509,0.13,0.018,0.086,40.0,6020,
AUID,-9.637,1.756,-0.387,-58.372,-1.748,-4.884,45.0,7372,Prepackaged software
EXPO,120.238,0.718,0.185,0.188,0.213,0.304,20.0,8742,Management consulting services
GDDY,816.5,-12.722,5.138,0.085,0.11,,45.0,7370,
ENR,603.4,20.403,5.872,0.047,0.13,0.756,30.0,3690,
BHE,162.977,1.192,3.152,0.023,0.07,0.066,45.0,3672,Printed circuit boards
RKDA,-13.578,0.546,-0.106,-2.865,-0.516,-0.732,30.0,100,
SEDG,189.04,0.899,1.67,0.061,0.101,0.096,45.0,3674,Semiconductors and related devices
MTRX,-18.589,1.25,-1.477,-0.063,-0.062,-0.253,20.0,1623,"Water, sewer, and utility lines"
BNED,45.202,8.059,52.257,-0.057,0.009,-0.598,25.0,5940,
ESE,202.608,0.488,0.908,0.097,0.108,0.079,20.0,3825,Instruments to measure electricity
CABO,883.833,2.902,4.221,0.044,0.13,0.027,50.0,4841,Cable and other pay television services
INUV,-7.642,0.729,-0.072,-0.17,-0.266,-0.559,45.0,7370,
GWAV,-3.652,3.965,-3.841,-0.917,-0.15,-2.058,20.0,4950,
ETSY,469.753,-5.67,5.155,0.123,0.183,,25.0,7370,
OPGN,-14.478,2.533,-0.797,-8.522,-0.629,-2.787,35.0,2835,Diagnostic substances
BLD,1031.185,1.22,1.631,0.118,0.219,0.27,25.0,1700,
PJT,191.792,1.774,0.623,0.074,0.192,0.508,40.0,6200,
PJT,,1.774,0.623,0.074,0.192,0.508,40.0,6200,
LITE,-20.8,2.123,19.428,-0.126,0.03,-0.132,45.0,3576,
ETD,93.87,0.612,0.98,0.123,0.18,0.203,25.0,2510,
XBIT,-35.766,0.026,0.0,-77.083,-0.145,-0.097,35.0,2836,"Biological products, except diagnostic"
ZVRA,-45.498,0.592,-0.497,-2.41,-0.391,-0.5,35.0,2834,Pharmaceutical preparations
CDTX,-24.371,4.503,-0.089,-0.543,-0.478,-1.795,35.0,2836,"Biological products, except diagnostic"
SISI,-12.076,0.824,-2.096,-18.398,-0.124,-0.299,30.0,2835,Diagnostic substances
BPMC,-478.577,2.315,-1.361,-2.566,-0.4,-1.18,35.0,2836,"Biological products, except diagnostic"
VIRT,1060.93,9.079,9.521,0.073,0.086,0.125,40.0,6211,Security brokers and dealers
VIRT,,9.079,9.521,0.073,0.086,0.125,40.0,6211,Security brokers and dealers
NRIM,56.654,11.008,1.025,0.18,0.022,0.125,40.0,6020,
NRIM,,11.008,1.025,0.18,0.022,0.125,40.0,6020,
OPRX,-10.638,0.061,-0.011,-0.219,-0.106,-0.111,35.0,7370,
CATY,590.163,7.759,0.981,0.3,0.027,0.147,40.0,6020,
CATY,,7.759,0.981,0.3,0.027,0.147,40.0,6020,
COLL,339.833,5.337,2.39,0.016,0.261,0.047,35.0,2834,Pharmaceutical preparations
SMTI,-3.59,0.512,-0.825,-0.131,-0.085,-0.192,35.0,3842,Surgical appliances and supplies
PAVM,-65.863,-1.971,-0.628,-46.6,-1.194,-11.164,35.0,3841,Surgical and medical instruments
CYH,1375.0,-10.731,8.997,0.019,0.094,,35.0,8062,General medical and surgical hospitals
DORM,315.696,1.118,2.614,0.05,0.135,0.091,25.0,3714,Motor vehicle parts and accessories
CCEL,4.891,-88.326,2.007,0.08,0.087,,35.0,8090,
AZO,4338.463,-4.675,2.803,0.145,0.254,,25.0,5531,Auto and home supply stores
REGN,4769.6,0.284,0.541,0.305,0.171,0.174,35.0,2834,Pharmaceutical preparations
VIRX,-50.201,0.776,-0.527,,-0.567,-0.957,35.0,2836,"Biological products, except diagnostic"
EVH,152.672,1.073,5.192,-0.051,0.055,-0.091,35.0,7372,Prepackaged software
WING,131.078,-2.042,5.536,0.157,0.3,,25.0,5812,Eating places
BW,45.968,-23.075,8.051,-0.018,0.055,,20.0,3510,
X,1828.0,0.878,2.17,0.063,0.099,0.105,15.0,3312,Blast furnaces and steel mills
ATXS,,0.04,,,-0.299,-0.604,35.0,2836,"Biological products, except diagnostic"
GKOS,-89.067,0.935,-4.398,-0.426,-0.089,-0.246,35.0,3841,Surgical and medical instruments
HAE,320.959,1.323,2.582,0.104,0.158,0.154,35.0,3841,Surgical and medical instruments
IONS,-323.438,5.28,-2.599,-0.666,-0.195,-0.787,35.0,2836,"Biological products, except diagnostic"
APPF,49.273,0.49,10.438,-0.083,0.012,-0.188,45.0,7370,
OLLI,262.735,0.515,2.0,0.079,0.111,0.11,25.0,5331,Variety stores
VERX,60.883,2.214,1.296,-0.061,0.077,-0.151,45.0,7370,
LCUT,53.585,2.038,6.306,-0.011,0.073,-0.032,25.0,3420,
ALRM,100.087,1.119,5.958,0.079,0.066,0.11,45.0,7370,
FCFS,498.775,1.103,3.594,0.075,0.123,0.114,40.0,5900,
DBI,146.348,3.889,6.177,0.034,0.091,0.242,25.0,5661,Shoe stores
NTRA,-423.545,0.976,-0.922,-0.505,-0.388,-0.863,35.0,8071,Medical laboratories
MCRB,-96.134,-48.068,-1.437,-1.11,-0.39,-4.197,35.0,2836,"Biological products, except diagnostic"
IDXX,1211.922,1.997,1.066,0.229,0.431,1.078,35.0,2835,Diagnostic substances
LDWY,-2.586,0.351,-0.062,0.534,-0.148,1.211,50.0,6159,Miscellaneous business credit
AES,3376.0,13.713,7.52,-0.044,0.087,-0.189,55.0,4991,
CRVL,121.353,1.0,0.285,0.1,0.297,0.372,35.0,6411,"Insurance agents, brokers, and service"
HWC,779.63,9.427,2.842,0.26,0.024,0.143,40.0,6020,
HWC,,9.427,2.842,0.26,0.024,0.143,40.0,6020,
TDOC,129.172,0.883,15.196,-1.551,0.02,-1.217,35.0,8090,
AMBC,124.0,5.349,24.974,0.715,0.018,0.162,40.0,6351,Surety insurance
AMBC,,5.349,24.974,0.715,0.018,0.162,40.0,6351,Surety insurance
DIN,219.74,-7.086,7.739,0.091,0.117,,25.0,6794,Patent owners and lessors
KALU,209.4,2.596,5.928,0.004,0.08,0.021,15.0,3350,
SGD,-3.024,3.185,-1.896,,-0.257,-1.749,60.0,6552,"Subdividers and developers, nec"
MNST,2094.189,0.185,0.021,0.226,0.231,0.215,30.0,2086,Bottled and canned soft drinks
VRTX,4488.3,0.313,0.196,0.359,0.247,0.244,35.0,2834,Pharmaceutical preparations
MNRO,146.554,1.528,4.36,0.027,0.083,0.048,25.0,7500,
LIND,57.31,-7.548,10.987,-0.09,0.066,,25.0,4700,
PRGS,232.742,2.732,3.343,0.116,0.153,0.194,45.0,7372,Prepackaged software
MTG,943.734,0.321,0.56,0.619,0.158,0.153,40.0,6351,Surety insurance
MTG,,0.321,0.56,0.619,0.158,0.153,40.0,6351,Surety insurance
ZBRA,761.0,1.562,2.479,0.092,0.126,0.161,45.0,3577,"Computer peripheral equipment, nec"
BOXL,8.202,1.482,4.086,-0.13,0.064,-0.423,45.0,3861,Photographic equipment and supplies
AQMS,-18.556,0.44,-0.339,-715.28,-0.534,-0.903,20.0,4953,Refuse systems
EZPW,145.661,0.968,4.952,0.037,0.088,0.053,40.0,5900,
PRA,24.283,4.185,9.41,-0.028,0.008,-0.028,40.0,6331,"Fire, marine, and casualty insurance"
PRA,,4.185,9.41,-0.028,0.008,-0.028,40.0,6331,"Fire, marine, and casualty insurance"
BOKF,1097.01,8.954,6.8,0.21,0.025,0.13,40.0,6020,
BOKF,,8.954,6.8,0.21,0.025,0.13,40.0,6020,
FIZZ,237.41,0.508,0.185,0.139,0.408,0.432,30.0,2086,Bottled and canned soft drinks
BIIB,3198.3,0.826,2.194,0.146,0.133,0.105,35.0,2836,"Biological products, except diagnostic"
MSGS,149.202,-4.77,10.554,0.052,0.082,,50.0,7900,
RPD,22.08,-11.824,-174.61,-0.239,-0.004,,45.0,7372,Prepackaged software
PULM,-14.606,0.431,-0.159,-2.389,-0.432,-0.558,35.0,2836,"Biological products, except diagnostic"
OOMA,4.732,1.031,4.136,0.008,0.038,0.028,45.0,4813,"Telephone communication, except radio"
VTVT,-25.412,-1.418,-0.023,-2390.8,-0.902,,35.0,2836,"Biological products, except diagnostic"
DSKE,150.3,5.397,4.805,0.01,0.133,0.09,20.0,4213,"Trucking, except local"
BCDA,-11.56,2.484,-0.121,-21.977,-1.538,-4.001,35.0,2836,"Biological products, except diagnostic"
CSWI,196.679,0.87,1.554,0.134,0.179,0.194,20.0,2800,
PYPL,6016.0,2.859,1.921,0.129,0.077,0.188,40.0,7389,"Business services, nec"
ODFL,1964.673,0.312,0.058,0.212,0.401,0.31,20.0,4213,"Trucking, except local"
TRU,1144.6,1.716,4.927,-0.048,0.098,-0.036,20.0,7323,Credit reporting services
IDEX,-84.985,1.784,-0.303,-10.994,-0.354,-2.181,20.0,3713,Truck and bus bodies
HMN,50.1,11.369,-53.199,-0.009,-0.001,-0.012,40.0,6331,"Fire, marine, and casualty insurance"
HMN,,11.369,-53.199,-0.009,-0.001,-0.012,40.0,6331,"Fire, marine, and casualty insurance"
ATNI,180.916,1.72,3.495,-0.013,0.104,-0.017,50.0,4812,Radiotelephone communication
WNC,362.404,1.901,1.19,0.086,0.274,0.498,20.0,3715,Truck trailers
WRLD,158.374,1.935,8.053,0.098,0.116,0.152,40.0,6141,Personal credit institutions
WRLD,,1.935,8.053,0.098,0.116,0.152,40.0,6141,Personal credit institutions
WT,94.244,0.891,3.789,0.166,0.08,0.156,40.0,6282,Investment advice
WT,,0.891,3.789,0.166,0.08,0.156,40.0,6282,Investment advice
JBSS,108.398,0.5,0.253,0.066,0.262,0.23,30.0,2060,
TTEK,584.093,1.722,2.264,0.06,0.149,0.209,20.0,8711,Engineering services
AMSC,-1.966,1.108,-0.159,-0.203,-0.11,-0.284,20.0,3621,Motors and generators
QCOM,11969.0,1.365,1.535,0.205,0.209,0.368,45.0,3674,Semiconductors and related devices
POCI,-2.512,0.72,-3.902,-0.022,-0.04,-0.044,35.0,3845,Electromedical equipment
SPOK,26.297,0.393,0.552,0.264,0.111,0.221,50.0,4812,Radiotelephone communication
GILD,12535.0,1.917,2.05,0.215,0.198,0.248,35.0,2836,"Biological products, except diagnostic"
PLNT,437.604,-17.35,5.599,0.128,0.148,,25.0,7997,Membership sports and recreation clubs
LMFA,-6.184,0.057,-0.035,-3.388,-0.265,-0.693,45.0,6159,Miscellaneous business credit
RUN,-280.685,1.887,-29.812,-0.506,-0.017,-0.178,20.0,3620,
MCFT,30.349,0.842,0.537,0.122,0.326,0.434,25.0,3730,
ROP,2517.0,0.659,2.797,0.207,0.091,0.072,45.0,7370,
GOVX,-26.669,0.27,0.0,-170.99,-0.822,-0.966,35.0,2836,"Biological products, except diagnostic"
MODG,492.3,1.293,8.534,0.023,0.055,0.025,25.0,3949,"Sporting and athletic goods, nec"
LCTX,-24.041,0.618,-0.144,-2.629,-0.203,-0.307,35.0,2836,"Biological products, except diagnostic"
LFVN,13.682,1.07,1.444,0.012,0.142,0.078,30.0,2834,Pharmaceutical preparations
VRTS,229.332,3.338,10.823,0.163,0.06,0.164,40.0,6282,Investment advice
VRTS,,3.338,10.823,0.163,0.06,0.164,40.0,6282,Investment advice
CNFR,-24.228,16.105,-1.663,-0.046,-0.071,-0.233,40.0,6331,"Fire, marine, and casualty insurance"
ICUI,341.709,1.121,4.844,-0.012,0.08,-0.013,35.0,3841,Surgical and medical instruments
MHK,1441.059,0.792,2.421,-0.049,0.097,-0.064,25.0,2273,Carpets and rugs
ASUR,17.85,1.614,1.628,-0.055,0.052,-0.045,20.0,7370,
KOPN,-16.57,0.554,-0.191,-0.441,-0.309,-0.582,45.0,3674,Semiconductors and related devices
RNST,289.703,6.857,2.915,0.185,0.018,0.076,40.0,6020,
RNST,,6.857,2.915,0.185,0.018,0.076,40.0,6020,
AGCO,2022.3,1.645,1.015,0.08,0.197,0.286,20.0,3523,Farm machinery and equipment
CASS,42.441,10.803,0.2,0.148,0.022,0.149,40.0,7389,"Business services, nec"
HLI,404.516,0.731,0.96,0.141,0.137,0.161,40.0,6282,Investment advice
BKE,291.889,1.05,0.965,0.178,0.355,0.552,25.0,5651,Family clothing stores
OLED,260.591,0.177,0.111,0.351,0.18,0.161,45.0,3674,Semiconductors and related devices
BSX,4105.0,0.823,2.391,0.089,0.12,0.068,35.0,3845,Electromedical equipment
KSS,1466.0,2.963,9.016,-0.008,0.058,-0.036,25.0,5311,Department stores
INTZ,-10.387,-1.684,-0.94,-2.86,-1.501,,45.0,7372,Prepackaged software
USPH,85.251,0.894,3.314,0.051,0.096,0.079,35.0,8000,
PVBC,32.353,7.112,2.739,0.113,0.02,0.051,40.0,6036,"Savings institutions, except federal"
PVBC,,7.112,2.739,0.113,0.02,0.051,40.0,6036,"Savings institutions, except federal"
FC,45.131,2.127,0.462,0.063,0.139,0.217,20.0,8200,
LOOP,-21.214,0.29,-0.137,-61.689,-0.625,-0.248,15.0,2821,Plastics materials and resins
CACC,644.8,3.218,6.957,0.171,0.094,0.151,40.0,6141,Personal credit institutions
CACC,,3.218,6.957,0.171,0.094,0.151,40.0,6141,Personal credit institutions
DHI,6115.5,0.416,0.821,0.134,0.199,0.225,25.0,1531,Operative builders
GPK,1938.0,3.507,2.936,0.071,0.18,0.236,15.0,2650,
SBUX,6620.2,-4.682,3.583,0.115,0.239,,25.0,5812,Eating places
SKYX,-36.122,3.572,-1.175,-0.883,-0.531,-2.602,20.0,3690,
STRS,-12.689,0.931,-7.897,-0.782,-0.037,-0.1,60.0,6552,"Subdividers and developers, nec"
LFMD,-7.889,-4.538,-1.056,-0.212,-0.414,,35.0,8090,
NKSH,27.543,12.144,0.039,0.301,0.021,0.168,40.0,6020,
NKSH,,12.144,0.039,0.301,0.021,0.168,40.0,6020,
VZIO,32.2,1.226,0.425,0.012,0.037,0.056,25.0,3651,Household audio and video equipment
CENTA,313.626,1.327,4.3,0.038,0.096,0.09,30.0,5140,
PMTS,77.521,-5.356,3.268,0.072,0.298,,45.0,3674,Semiconductors and related devices
WIRE,483.273,0.113,0.0,0.175,0.301,0.257,20.0,3357,Nonferrous wiredrawing and insulating
AREC,-16.56,8.328,-0.927,0.39,-0.283,-0.955,10.0,1220,
KW,217.6,3.017,26.6,-0.065,0.026,-0.027,60.0,6510,
KW,,3.017,26.6,-0.065,0.026,-0.027,60.0,6510,
ACI,4072.4,13.925,3.723,0.017,0.144,0.448,30.0,5411,Grocery stores
CVU,6.778,9.099,4.421,0.107,0.107,0.192,20.0,3728,"Aircraft parts and equipment, nec"
CAKE,211.626,7.927,9.563,0.025,0.07,0.275,25.0,5812,Eating places
LFUS,526.491,0.707,1.882,0.127,0.144,0.132,45.0,3613,Switchgear and switchboard apparatus
ASGN,472.5,0.86,2.291,0.05,0.135,0.111,45.0,7363,Help supply services
PSTG,223.813,2.263,1.873,0.025,0.066,0.077,45.0,3572,Computer storage devices
CPSS,208.575,10.412,12.055,0.152,0.074,0.221,40.0,6159,Miscellaneous business credit
MTX,373.1,1.098,3.051,0.03,0.102,0.036,15.0,2860,
PDCO,341.08,1.644,1.951,0.031,0.124,0.178,35.0,5047,Medical and hospital equipment
SITE,369.3,1.028,2.391,0.042,0.134,0.13,20.0,5080,
RDN,887.467,0.771,1.805,0.508,0.127,0.142,40.0,6351,Surety insurance
RDN,,0.771,1.805,0.508,0.127,0.142,40.0,6351,Surety insurance
SGRY,528.9,1.694,5.731,-0.013,0.077,-0.019,35.0,8090,
ACRS,-112.307,0.321,-0.021,-5.348,-0.461,-0.591,35.0,2834,Pharmaceutical preparations
KAI,201.219,0.665,1.104,0.121,0.176,0.164,20.0,3550,
GURE,9.092,0.073,0.44,-0.137,0.074,-0.021,15.0,2810,
LGND,49.42,0.204,1.173,0.137,0.049,0.03,35.0,2834,Pharmaceutical preparations
GTLS,665.1,2.125,6.591,0.006,0.084,0.006,20.0,3443,Fabricated plate work (boiler shop)
PESI,3.401,0.958,2.089,-0.013,0.026,-0.028,20.0,4955,
SM,1609.233,0.817,0.963,0.34,0.287,0.242,10.0,1311,Crude petroleum and natural gas
UVE,101.98,7.763,-7.591,0.053,0.035,0.239,40.0,6331,"Fire, marine, and casualty insurance"
UVE,,7.763,-7.591,0.053,0.035,0.239,40.0,6331,"Fire, marine, and casualty insurance"
EP,-6.253,2.444,-2.245,-0.251,-0.067,-0.466,10.0,1311,Crude petroleum and natural gas
ULBI,13.486,0.458,2.311,0.027,0.066,0.034,20.0,3690,
MTCH,1026.434,-15.485,3.98,0.155,0.238,,50.0,7370,
